Utility_ID,Electric_Utility,State
249,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
250,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
251,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
252,PUGET SOUND ENERGY INC,Unknown
253,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
254,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
255,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
256,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
257,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
258,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
259,PUGET SOUND ENERGY INC,Unknown
260,PUGET SOUND ENERGY INC,Unknown
261,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
262,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
263,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
264,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
265,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
266,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
267,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
268,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
269,PUGET SOUND ENERGY INC,Unknown
270,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
271,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
272,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
273,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
274,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
275,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
276,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,Unknown
277,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
278,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
279,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
280,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
281,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
282,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
283,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
284,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
285,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
286,PUGET SOUND ENERGY INC,Unknown
287,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
288,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
289,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
290,PUGET SOUND ENERGY INC,Unknown
291,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
292,PUGET SOUND ENERGY INC,Unknown
293,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
294,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
295,PUGET SOUND ENERGY INC,Unknown
296,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
297,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
298,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
299,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
300,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
301,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
302,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
303,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
304,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
305,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
306,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
307,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
308,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
309,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
310,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
311,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
312,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
313,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
314,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
315,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
316,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
317,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
318,PUGET SOUND ENERGY INC,Unknown
319,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
320,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
321,PUGET SOUND ENERGY INC,Unknown
322,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
323,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
324,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
325,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
326,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
327,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
328,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
329,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
330,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
331,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
332,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
333,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
334,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
335,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
336,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
337,PUGET SOUND ENERGY INC,Unknown
338,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
339,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
340,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
341,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
342,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
343,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
344,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
345,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
346,PUGET SOUND ENERGY INC,Unknown
347,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
348,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
349,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
350,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
351,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
352,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
353,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
354,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
355,PUGET SOUND ENERGY INC,Unknown
356,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
357,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
358,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
359,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
360,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
361,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
362,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
363,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
364,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
365,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
366,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
367,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
368,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
369,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
370,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
371,PUGET SOUND ENERGY INC,Unknown
372,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
373,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
374,PUGET SOUND ENERGY INC,Unknown
375,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
376,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
377,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
378,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
379,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
380,PUGET SOUND ENERGY INC,Unknown
381,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
382,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
383,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
384,PUGET SOUND ENERGY INC,Unknown
385,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
386,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
387,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
388,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
389,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
390,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
391,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
392,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
393,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
394,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
395,PACIFICORP,Unknown
396,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
397,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
398,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
399,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
400,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
401,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
402,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,Unknown
403,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
404,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
405,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
406,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
407,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
408,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
409,PUGET SOUND ENERGY INC,Unknown
410,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
411,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
412,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
413,PUGET SOUND ENERGY INC,Unknown
414,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
415,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
416,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
417,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
418,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
419,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
420,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
421,PUGET SOUND ENERGY INC,Unknown
422,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,Unknown
423,PUGET SOUND ENERGY INC,Unknown
424,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
425,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
426,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
427,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
428,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
429,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
430,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
431,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
432,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
433,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
434,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
435,PUGET SOUND ENERGY INC,Unknown
436,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
437,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
438,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
439,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
440,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
441,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
442,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
443,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
444,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
